Wall time,Step,Value
1751226441.3389559,10000,0.0
1751226468.375902,20000,0.0
1751226491.8790545,30000,0.0
1751226514.3533874,40000,0.0
1751226537.243889,50000,0.0
1751226560.669478,60000,0.0
1751226584.5876777,70000,0.0
1751226607.1406696,80000,0.0
1751226631.543554,90000,0.0
1751226656.181395,100000,0.0
1751226678.523975,110000,0.0
1751226701.246607,120000,0.0
1751226724.9657462,130000,0.0
1751226748.9622426,140000,0.0
1751226773.6895845,150000,0.0
1751226797.5277436,160000,0.0
1751226822.3997312,170000,0.0
1751226845.2315283,180000,0.0
1751226869.926783,190000,0.0
1751226893.089975,200000,2.23404131247662e-05
1751226913.2670355,210000,0.0
1751226938.4378724,220000,1.7947622836800292e-05
1751226963.9540253,230000,0.0
1751226988.506248,240000,0.0
1751227011.5407474,250000,0.0
1751227034.8298626,260000,0.0
1751227056.7088945,270000,0.0
1751227081.0165231,280000,0.0
1751227105.5075035,290000,0.0
1751227129.079813,300000,0.0
1751227153.0636196,310000,0.0
1751227176.745958,320000,0.0
1751227202.9265287,330000,0.0
1751227227.5038047,340000,0.0
1751227253.1756,350000,0.0
1751227276.565456,360000,0.0
1751227303.982719,370000,2.095556510539609e-06
1751227332.1047688,380000,0.0
1751227354.4151866,390000,0.0
1751227376.2060275,400000,0.0
1751227399.2546747,410000,0.0
1751227417.4494061,420000,3.5904788546758937e-06
1751227440.492035,430000,0.0
1751227464.214212,440000,5.1145663746865466e-05
1751227489.0842202,450000,0.0
1751227517.8726037,460000,0.0
1751227544.3130178,470000,6.055710400687531e-06
1751227567.4048488,480000,0.0
1751227593.5485559,490000,0.0
1751227622.076361,500000,4.560608431347646e-06
1751227651.3624709,510000,0.0
1751227674.6683495,520000,0.0
1751227698.7646558,530000,0.0
1751227723.9130511,540000,1.7094007489504293e-05
1751227749.3989868,550000,0.0
1751227773.5658443,560000,0.0
1751227799.5956404,570000,0.0
1751227827.694631,580000,0.0
1751227854.233411,590000,0.0
1751227879.0328038,600000,2.589181713119615e-05
1751227903.2634108,610000,0.0
1751227929.0651994,620000,0.0
1751227948.8431852,630000,0.0
1751227974.0357943,640000,0.0
1751228003.8757486,650000,0.0
1751228028.2040782,660000,0.0
1751228052.5349953,670000,0.0
1751228077.306777,680000,0.0
1751228102.7257078,690000,0.0
1751228126.635625,700000,0.0
1751228150.3279822,710000,0.0
1751228174.4716299,720000,0.0
1751228197.6658378,730000,0.0
1751228223.9958696,740000,0.0
1751228251.3738892,750000,0.0
1751228276.3001688,760000,0.0
1751228302.4730186,770000,0.0
1751228328.9628918,780000,3.488038419163786e-05
1751228354.9251177,790000,0.0
1751228379.0206354,800000,0.0
1751228404.7017934,810000,0.0
1751228430.2270627,820000,0.0
1751228459.072015,830000,0.0
1751228481.004275,840000,0.0
1751228506.1567485,850000,0.0
1751228533.0599465,860000,0.0
1751228560.3551826,870000,0.0
1751228587.5032902,880000,0.0
1751228614.564701,890000,0.0
1751228640.669177,900000,0.0
1751228668.6668746,910000,6.991051486693323e-05
1751228694.8709922,920000,5.912157939746976e-05
1751228721.8550825,930000,0.0
1751228749.604361,940000,1.4302054296422284e-06
1751228779.6318316,950000,7.086165169312153e-06
1751228807.7480905,960000,0.0
1751228833.4885962,970000,0.0
1751228861.5270853,980000,0.0
1751228888.6622362,990000,0.0
1751228915.8642566,1000000,0.0
1751228944.487631,1010000,0.0
1751228973.392953,1020000,0.0
1751228999.6767573,1030000,0.0
1751229025.1191275,1040000,0.0
1751229047.1402237,1050000,0.0
1751229075.4565384,1060000,0.0
1751229102.7315154,1070000,0.0
1751229130.4937139,1080000,0.0
1751229159.3935754,1090000,0.0
1751229189.18349,1100000,0.0
1751229216.1745462,1110000,0.0
1751229246.9427218,1120000,0.0
1751229276.1089215,1130000,0.0
1751229301.7830093,1140000,0.0
1751229327.681721,1150000,0.0
1751229352.8920715,1160000,0.0
1751229379.8062298,1170000,0.0
1751229409.8836713,1180000,0.0
1751229442.038838,1190000,0.0
1751229469.7238548,1200000,0.0
1751229498.32059,1210000,0.0
1751229526.6136143,1220000,0.0
1751229555.1175776,1230000,0.0
1751229583.115425,1240000,0.0
1751229610.610805,1250000,0.0
1751229630.391115,1260000,0.0
1751229657.1292772,1270000,0.0
1751229688.724494,1280000,0.0
1751229714.7471511,1290000,0.0
1751229740.6920395,1300000,0.0
1751229769.6987295,1310000,0.0
1751229798.5957768,1320000,0.0
1751229832.0880039,1330000,0.0
1751229858.8353343,1340000,0.0
1751229886.8417375,1350000,0.0
1751229912.5641139,1360000,0.0
1751229937.7997863,1370000,0.0
1751229962.7088192,1380000,0.0
1751229988.4719126,1390000,0.0
1751230015.2886286,1400000,0.0
1751230041.7940361,1410000,0.0
1751230066.1690547,1420000,0.0
1751230092.4538252,1430000,0.0
1751230118.6719067,1440000,0.0
